Start Date,End Date,TOWN,Super Petrol,Diesel,Kerosene
15/07/2023,14/08/2023,Mombasa,191.62,176.63,166.43
15/07/2023,14/08/2023,Kilifi,192.39,177.40,167.19
15/07/2023,14/08/2023,Likoni Mainland,192.00,177.02,166.81
15/07/2023,14/08/2023,Kwale,192.00,177.02,166.81
15/07/2023,14/08/2023,Malindi,192.62,177.62,167.41
15/07/2023,14/08/2023,Lungalunga,192.77,177.78,167.57
15/07/2023,14/08/2023,Voi,193.21,178.21,168.01
15/07/2023,14/08/2023,Taveta,194.73,179.73,169.52
15/07/2023,14/08/2023,Lamu,195.17,180.17,169.97
15/07/2023,14/08/2023,Hola,195.47,180.48,170.28
15/07/2023,14/08/2023,Mpeketoni,195.17,180.17,169.97
15/07/2023,14/08/2023,Minjila,194.06,179.07,168.86
15/07/2023,14/08/2023,Garsen,194.15,179.16,168.95
15/07/2023,14/08/2023,Samburu,191.95,176.95,166.75
15/07/2023,14/08/2023,Taru,192.14,177.14,166.95
15/07/2023,14/08/2023,Mwatate,193.57,178.58,168.37
15/07/2023,14/08/2023,Wundanji,193.75,178.76,168.56
15/07/2023,14/08/2023,Kaloleni,191.79,176.80,166.60
15/07/2023,14/08/2023,Marereni,193.32,178.33,168.12
15/07/2023,14/08/2023,Nairobi,194.68,179.67,169.48
15/07/2023,14/08/2023,Thika,194.68,179.67,169.48
15/07/2023,14/08/2023,Machakos,194.94,179.92,169.73
15/07/2023,14/08/2023,Kajiado,195.13,180.11,169.93
15/07/2023,14/08/2023,Makuyu,195.00,179.97,169.79
15/07/2023,14/08/2023,Muranga,195.24,180.23,170.03
15/07/2023,14/08/2023,Sagana,195.48,180.46,170.28
15/07/2023,14/08/2023,Embu,195.87,180.86,170.66
15/07/2023,14/08/2023,Kerugoya,195.78,180.76,170.58
15/07/2023,14/08/2023,Narok,196.17,181.16,170.97
15/07/2023,14/08/2023,Nyeri,196.16,181.15,170.95
15/07/2023,14/08/2023,Namanga,196.34,181.32,171.13
15/07/2023,14/08/2023,Kiganjo,196.12,181.10,170.91
15/07/2023,14/08/2023,Chuka,196.43,181.42,171.23
15/07/2023,14/08/2023,Kitui,196.33,181.31,171.12
15/07/2023,14/08/2023,Mwingi,196.75,181.73,171.54
15/07/2023,14/08/2023,Nanyuki,196.76,181.74,171.55
15/07/2023,14/08/2023,Nkubu,197.80,182.78,172.60
15/07/2023,14/08/2023,Mtito Andei,197.29,182.28,172.10
15/07/2023,14/08/2023,Meru,198.01,182.99,172.80
