,start_date,end_date,town,super_petrol,diesel,kerosene
1338,15/10/2022,14/11/2022,Mombasa,175.98,160.76,144.69
1339,15/10/2022,14/11/2022,Kilifi,176.69,161.47,145.41
1340,15/10/2022,14/11/2022,Likoni Mainland,176.34,161.11,145.05
1341,15/10/2022,14/11/2022,Kwale,176.34,161.11,145.05
1342,15/10/2022,14/11/2022,Malindi,176.9,161.67,145.61
1343,15/10/2022,14/11/2022,Lungalunga,177.05,161.83,145.76
1344,15/10/2022,14/11/2022,Voi,177.46,162.24,146.17
1345,15/10/2022,14/11/2022,Taveta,178.86,163.64,147.58
1346,15/10/2022,14/11/2022,Lamu,179.27,164.06,148.0
1347,15/10/2022,14/11/2022,Hola,179.57,164.34,148.28
1348,15/10/2022,14/11/2022,Mpeketoni,179.27,164.06,148.0
1349,15/10/2022,14/11/2022,Minjila,178.25,163.02,146.96
1350,15/10/2022,14/11/2022,Garsen,178.33,163.11,147.05
1351,15/10/2022,14/11/2022,Samburu,176.28,161.06,145.0
1352,15/10/2022,14/11/2022,Taru,176.46,161.24,145.18
1353,15/10/2022,14/11/2022,Mwatate,177.79,162.57,146.51
1354,15/10/2022,14/11/2022,Wundanji,177.96,162.74,146.68
1355,15/10/2022,14/11/2022,Kaloleni,176.13,160.92,144.85
1356,15/10/2022,14/11/2022,Marereni,177.56,162.34,146.27
1357,15/10/2022,14/11/2022,Nairobi,178.3,163.0,146.94
1358,15/10/2022,14/11/2022,Thika,178.31,163.01,146.94
1359,15/10/2022,14/11/2022,Machakos,178.54,163.24,147.18
1360,15/10/2022,14/11/2022,Kajiado,178.72,163.42,147.36
1361,15/10/2022,14/11/2022,Makuyu,178.59,163.29,147.23
1362,15/10/2022,14/11/2022,Muranga,178.82,163.52,147.46
1363,15/10/2022,14/11/2022,Sagana,179.05,163.75,147.68
1364,15/10/2022,14/11/2022,Embu,179.4,164.1,148.04
1365,15/10/2022,14/11/2022,Kerugoya,179.33,164.03,147.97
1366,15/10/2022,14/11/2022,Narok,179.69,164.4,148.33
1367,15/10/2022,14/11/2022,Nyeri,179.67,164.37,148.31
1368,15/10/2022,14/11/2022,Namanga,179.85,164.55,148.48
1369,15/10/2022,14/11/2022,Kiganjo,179.64,164.34,148.28
1370,15/10/2022,14/11/2022,Chuka,179.93,164.63,148.57
1371,15/10/2022,14/11/2022,Kitui,179.84,164.54,148.47
1372,15/10/2022,14/11/2022,Mwingi,180.22,164.93,148.86
1373,15/10/2022,14/11/2022,Nanyuki,180.23,164.94,148.87
1374,15/10/2022,14/11/2022,Nkubu,181.21,165.91,149.84
1375,15/10/2022,14/11/2022,Mtito Andei,180.74,165.44,149.38
1376,15/10/2022,14/11/2022,Meru,181.4,166.1,150.04
1377,15/10/2022,14/11/2022,Isiolo,181.26,165.96,149.89
1378,15/10/2022,14/11/2022,Maua,181.85,166.56,150.49
1379,15/10/2022,14/11/2022,Garissa,182.47,167.17,151.11
1380,15/10/2022,14/11/2022,Marsabit,186.15,170.85,154.79
1381,15/10/2022,14/11/2022,Liboi,185.24,169.94,153.87
1382,15/10/2022,14/11/2022,Moyale,187.74,172.44,156.37
1383,15/10/2022,14/11/2022,Sololo,186.79,171.49,155.43
1384,15/10/2022,14/11/2022,Habaswein,185.16,169.86,153.8
1385,15/10/2022,14/11/2022,Dadaab,183.85,168.55,152.49
1386,15/10/2022,14/11/2022,Tarbaj,187.42,172.12,156.04
1387,15/10/2022,14/11/2022,Elwak,189.02,173.72,157.65
1388,15/10/2022,14/11/2022,Wajir,187.57,172.27,156.21
1389,15/10/2022,14/11/2022,Modogashe,185.3,170.0,153.94
1390,15/10/2022,14/11/2022,Mandera,191.35,176.05,159.98
1391,15/10/2022,14/11/2022,Matuu,179.2,163.9,147.84
1392,15/10/2022,14/11/2022,Merti,183.65,168.35,152.29
